p,z,T,Td,u,v
563.3,4877.0,-2.5,-21.2,35.29090757840373,29.612587532950066
500.0,5820.0,-11.1,-27.1,47.214024410589026,22.01626115497469
496.0,5882.0,-11.5,-26.5,46.333165746212366,21.605510014023668
482.3,6096.0,-13.1,-28.1,43.514418020207046,20.291106362980404
481.0,6116.0,-13.3,-28.3,43.514418020207046,20.291106362980404
472.0,6260.0,-14.3,-33.3,44.217076439361435,19.686710811283934
464.0,6390.0,-14.5,-39.5,44.572233679838234,19.84483700253923
460.0,6455.0,-14.3,-30.3,44.749812300076634,19.923900098166875
457.0,6505.0,-14.5,-29.5,44.927390920315034,20.00296319379452
443.0,6740.0,-16.5,-27.5,45.806442350975786,19.443681198146308
431.0,6946.0,-17.9,-28.9,46.67949395400259,18.8597397661307
423.0,7086.0,-18.7,-37.7,47.54595157754879,18.2511808221564
410.0,7318.0,-20.5,-33.5,48.09037087042149,18.460163808669638
400.0,7500.0,-21.7,-41.7,48.95320438689127,17.81750926877809
396.0,7574.0,-22.1,-45.1,49.50118801808782,18.016958999398742
393.5,7620.0,-22.5,-44.2,49.866510438885506,18.149925486479173
383.0,7818.0,-24.3,-40.3,49.44050067301105,17.023729596583983
365.0,8165.0,-27.3,-52.3,48.43598450424148,15.73780537185991
353.0,8404.0,-29.7,-41.7,47.773818326561496,14.605922032861903
346.0,8547.0,-30.9,-41.9,47.21614729551214,14.435424888509429
327.0,8944.0,-33.9,-52.9,45.96605780180546,13.180554976190352
317.7,9144.0,-35.6,-53.8,45.43804724780457,12.175088065696425
315.0,9204.0,-36.1,-54.1,45.405496121295634,13.019816500870958
300.0,9540.0,-38.9,-49.9,45.11731896851546,16.421361154433537
290.0,9773.0,-40.9,-50.9,46.957023145333345,15.25726169638327
278.0,10058.0,-43.1,-54.4,49.19325776415205,13.181293690960594
262.0,10459.0,-46.3,-59.3,48.294605778144174,10.265335351411533
250.0,10770.0,-49.1,-62.1,47.28342495459668,8.33734355979932
238.0,11090.0,-51.9,-63.9,36.7547270902128,6.4808500545808485
231.1,11278.0,-52.9,-65.1,30.62893924184401,5.400708378817374
210.1,11887.0,-56.4,-69.1,45.893701515946205,4.01517860988781
200.0,12200.0,-58.1,-71.1,41.82717100187503,3.6594032900243336
190.8,12497.0,-59.8,-73.5,41.349067976489415,-7.29095631140344
188.0,12588.0,-60.3,-74.3,42.925775825160294,-6.032824364715765
175.0,13036.0,-60.3,-74.3,49.8882240953194,2.614531037210421
173.0,13106.0,-60.7,-74.9,50.73480927079286,4.43872065734433
164.7,13411.0,-62.2,-77.4,37.73986568929223,10.112366533904883
158.0,13669.0,-63.5,-79.5,38.93395296544842,18.155200430035098
157.0,13708.0,-63.5,-79.5,39.95518955363985,17.789196516220425
154.0,13827.0,-61.9,-77.9,42.4067454577393,18.000595484221385
150.0,13990.0,-62.3,-77.3,46.030625020509696,16.75377737213462
149.2,14021.0,-62.3,-77.3,49.866510438885506,18.149925486479173
147.0,14115.0,-62.1,-77.1,46.39805125628259,11.568333455544474
142.1,14326.0,-56.4,-73.4,35.96104,6.60593587950149e-15
142.0,14331.0,-56.3,-73.3,35.96104,6.60593587950149e-15
141.0,14376.0,-56.1,-74.1,35.37249977630095,0.6174292802686946
137.0,14558.0,-56.9,-73.9,33.35260433946137,2.332241291471834
132.0,14792.0,-58.9,-75.9,30.4137783873333,4.274377801009387
129.0,14935.0,-58.4,-77.1,28.523199668967234,5.029409677773679
125.0,15134.0,-57.7,-78.7,18.25870364410437,11.857340788424432
122.9,15240.0,-58.7,-79.7,12.782872743537425,12.782872743537428
118.0,15494.0,-61.1,-82.1,8.89072407098947,11.798389338862505
117.0,15545.0,-61.2,-81.6,8.027573904263646,11.46456367034914
115.0,15653.0,-61.5,-80.5,9.813328698015624,12.560487950985301
110.0,15928.0,-61.7,-80.7,14.982076656404079,14.98207665640408
