  ISU IEM BUFKIT STATION LISTING 20230730 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
NUM numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

NUM,LAT,LON,ID,NAME,LOC,EL(m),NOTE
000194,   38.60,   -73.75,  ATL4, EAST LEWES-01                    , DE,       0   ,0
000195,   29.20,   -87.25,  GMX1, S PENSACOLA-01                   , FL,       0   ,0
000196,   46.31,   -85.46,  KERY, NEWBERRY                         , MI,       265 ,0 NWS KMQT 12-01
000197,   47.18,   -87.22,  STDM, STANNARD ROCK                    , MI,       183 ,0 NWS KMQT 12-01
000198,   42.97,   -88.55,  KMKX, MILWAUKEE NWS                    , WI,       285 ,0 NWS KMKX 3-02
000199,   44.94,   -72.51,  JAYV, JAY PEAK                         , VT,       1875,0 NWS KBTV 3-02
000200,   37.27,   -82.10,  GRUN, GRUNDY                           , VA,       320 ,0 NWS KRLX 3-02
000201,   90.00,    -0.00,  A#1 , NORTH POLE ARCT                  , IC,       0   ,0
000202,   74.30,  -156.60,  A#2 , NORTH BARROW ARCTIC-93           , AK,       0   ,0
000203,   75.00,  -140.00,  A#3 , N BARTAR ISL ARCTIC-93           , AK,       0   ,0
000204,   60.60,  -173.30,  A#4 , NEAR MATTHEW ISL BERI-93         , ST,       0   ,0
000205,   59.90,  -161.75,  A#C , SSE BETHEL -999 NWS-05           , AK,       0   ,0 NWS 3-05
000206,   62.88,  -149.83,  PAEC, CHULITNA                         , AK,       381 ,0 NWS 3-05
000207,   60.79,  -148.83,  PATO, PORTAGE GLACIER CENTER           , AK,       29  ,0 Nelson/NWS 11-08
000208,   60.49,  -149.79,  A#D , COOPER LANDING -999 NWS-05       , AK,       0   ,0 NWS 3-05
000209,   60.95,  -149.14,  A#E , GIRDWOOD -999 NWS-05             , AK,       0   ,0 NWS 3-05
000210,   60.78,  -148.72,  PAWR, WHITTIER                         , AK,       30  ,0 NWS 7-07
000211,   29.22,  -114.28,  KLCB, LAGUNA CHAPELA BAJA              , MX,       701 ,0 Usr Rqst 2-01
000212,   36.20,   -81.65,  TNB , BOONE                            , NC,       960 ,0 NWS 3-05
000213,   42.59,   -87.94,  KENW, KENOSHA (ASOS)                   , WI,       220 ,0 NWS 9-07
000227,   42.59,  -117.87,  REO , ROME                             , OR,       1234,0 Weiss 2-99
000228,   47.08,  -122.36,  SWY , SPANAWAY -999 HMT S-PROF-10      , WA,       0   ,0 HMT S-PROF 12-10
000229,   46.91,  -124.11,  WPT , WESTPORT -999 HMT S-PROF/ARO-10  , WA,       0   ,0 HMT S-PROF/ARO 12-10
000230,   47.66,   -90.91,  LUT , NEAR LUSTEN -999 Usr Rqst-10     , MN,       0   ,0 Usr Rqst 12-10
000231,   46.77,   -91.25,  PWN , NEAR PORT WING -999 Usr Rqst-10  , WI,       0   ,0 Usr Rqst 12-10
000232,   55.31,  -160.52,  SDP , NEAR SAND POINT                  , AK,       6   ,0 Nelson/NWS 04-12
000233,   35.33,   -77.60,  KISO, KINSTON                          , NC,       29  ,0 TAF 1-11
000234,   44.53,   -72.61,  KMVL, MORRISVILLE-STOWE APT            , VT,       223 ,0 Usr Rqst 2-11
000235,   41.63,   -80.21,  KGKL, MEADVILLE                        , PA,       427 ,0 Usr Rqst 2-11
000236,   38.69,   -80.65,  K48I, SUTTON                           , WV,       255 ,0 Usr Rqst 2-11
000237,   34.57,  -117.67,  KGXA, GRAY BUTTE FIELD                 , CA,       923 ,0 Usr Rqst 10-11
000238,   34.37,  -117.36,  EMF , MIRAGE FIELD                     , CA,       873 ,0 Usr Rqst 10-11
000239,   45.97,   -86.17,  KISQ, MANISTIQUE                       , MI,       209 ,0 Usr Rqst 10-11
000240,   46.42,   -86.65,  P53 , MUNISING                         , MI,       187 ,0 Usr Rqst 10-11
000241,   39.16,   -89.67,  K3LF, LITCHFIELD                       , IL,       210 ,0 Usr Rqst 11-11
000247,   44.05,  -101.60,  PHP , PHILIP AIRPORT                   , SD,       673 ,0 Weiss 2-99
000251,   43.58,   -86.24,  KLDM, LUDINGTON                        , MI,       244 ,0 KGRR 1-02
000252,   43.43,   -85.30,  KRQB, BIG RAPIDS                       , MI,       276 ,0 KGRR 1-02
000253,   43.37,   -84.44,  KMOP, MOUNT PLEASANT                   , MI,       213 ,0 KGRR 1-02
000254,   34.38,  -104.23,  FTSR, FORT SUMNER                      , NM,       1231,0 Usr Rqst 4-02
000255,   46.70,   -48.00,  WTRO, WHITE ROSE OIL R Usr Rqst-03     , IG,       0   ,0
000256,   47.20,   -55.10,  MRYS, MARYSTOWN Usr Rqst-03            , NF,       0   ,0 Usr Rqst 12-03
000257,   42.75,   -86.10,  BIV , TULIP CITY ARPT/HOLLAND          , MI,       210 ,0 Usr Rqst 8-05
000258,   42.41,   -86.28,  LWA , SOUTH HAVEN                      , MI,       203 ,0 Usr Rqst 8-05
000259,   45.35,  -117.23,  JOES, JOSEPH                           , OR,       1250,0 NWS W Reg 2-06
000260,   41.59,   -95.34,  HNR , HARLAN MUNICIPAL AIRPT           , IA,       375 ,0 NWS OKX 2-06
000261,   43.78,   -87.85,  KSBM, SHEBOYGAN (ASOS)                 , WI,       233 ,0 NWS MKE 4-06
000262,   30.90,  -102.85,  KFST, FORT STOCKTON (ASOS)             , TX,       917 ,0 TAF 7-07
000263,   33.64,   -91.75,  LLQ , MONTICELLO ARPT (ASOS)           , AR,       82  ,0 TAF 7-7
000264,   36.22,   -92.28,  BPK , MOUNTAIN HOME                    , AR,       283 ,0 TAF 7-7
000265,   31.38,  -103.51,  KPEQ, PECOS MUNICIPAL                  , TX,       796 ,0 TAF 7-7
000266,   26.42,   -81.44,  KIMM, IMMOKALEE                        , FL,       11  ,0 MFL Rqst 7-07
000267,   26.75,   -80.94,  K2IS, CLEWISTON                        , FL,       6   ,0 MFL Rqst 7-07
000268,   31.18,   -99.32,  KBBD, BRADY CURTIS FIELD               , TX,       546 ,0 TAF 7-7
000269,   30.59,  -100.65,  SOA , SONORA MUNICIPAL -999 TAF-7      , TX,       0   ,0 TAF 7-7
000270,   39.08,  -120.94,  CFC , COLFAX WATER -999 HMT FMCW/ARO-  , CA,       0   ,0 HMT FMCW/ARO 12-10
000271,   37.51,  -120.04,  MPI , MARIPOSA                         , CA,       687 ,0 HMT S-PROF 12-10
000273,   37.58,  -120.27,  NXD , NEW EXCHEQUER DAM -999 HMT FMCW  , CA,       0   ,0 HMT FMCW 12-10
000274,   36.83,  -119.33,  PFD , PINE FLAT DAM -999 HMT FMCW-10   , CA,       0   ,0 HMT FMCW 12-10
000275,   35.85,  -121.31,  TPK , THREE PEAKS -999 HMT Rain Gauge  , CA,       0   ,0 HMT Rain Gauge 12-10
000276,   47.31,  -121.85,  RVD , RAVENSDALE -999 HMT S-PROF-10    , WA,       0   ,0 HMT S-PROF 12-10
000277,   38.49,  -121.22,  SHS , SACRAMENTO ARO SITE -999 HMT AR  , CA,       0   ,0 HMT ARO 12-10
000278,   39.13,  -120.80,  TNF , TAHOE NATL FOREST -999 HMT S-PR  , CA,       0   ,0 HMT S-PROF 12-10
000279,   40.72,  -122.43,  STA , SHASTA DAM -999 HMT FMCW-10      , CA,       0   ,0 HMT FMCW 12-10
000280,   40.50,   -74.45,  RUTG, NEW BRUNSWICK (RUTGERS)          , NJ,       11  ,0 NEPS 6-02
000282,   42.99,   -70.62,  APPL, APPLEDORE ISLAND NEPS-02         , ME,       0   ,0
000283,   45.50,   -73.57,  MCGL, MONTREAL (MCGILL)                , QB,       36  ,0 NEPS 6-02
000284,   41.10,   -72.89,  LISO, LONG ISLAND SOU NWS KOKX-03      , ND,       0   ,0
000285,   39.69,  -121.91,  KCIC, NEAR CHICO                       , CA,       41  ,0 Usr Rqst 3-03
000286,   39.17,  -121.11,  GVY , GRASS VALLEY                     , CA,       689 ,0 ETL Profiler 4-03
000287,   35.62,  -119.69,  LHS , LOST HILLS                       , CA,       80  ,0 ETL Profiler 4-03
000288,   35.66,  -121.28,  PPB , POINT PIEDRAS BLANCAS            , CA,       11  ,0 ETL Profiler 4-03
000289,   38.61,  -123.21,  CZC , CAZADERO                         , CA,       475 ,0 ETL Site 12-03
000290,   38.51,  -123.22,  FRS , FORT ROSS                        , CA,       70  ,0 ETL Site 12-03
000291,   38.78,  -122.99,  CVD , CLOVERDALE                       , CA,       83  ,0 ETL Site 12-03
