    IGRAv2 STATION LISTING 20230723 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------

------------------------------------------------------------------------


ID,LAT,LON,EL(m),NAME
BCM00068040, -21.4170,   25.6000,  985.0,  LETLHAKANE                    
BCM00068054, -21.2170,   27.5000, 1001.0,  FRANCISTOWN                   
BCM00068240, -24.5500,   25.9167, 1005.0,  SERETSE KHAMA INTERNATIONAL AI
BCM00068244, -24.6670,   25.9170, 1000.0,  GABORONE                      
BCM00068328, -26.0500,   22.4500, 1000.0,  TSABONG                       
BDM00078016,  32.3669,  -64.6772,    4.0,  L F WADE INTERNATIONAL AIRPORT
BEM00006400,  51.0830,    2.6500,    9.0,  KOKSIJDE                      
BEM00006447,  50.7969,    4.3581,   99.0,  UCCLE                         
BEM00006458,  50.7456,    4.7633,  112.8,  BEAUVECHAIN                   
BEM00006476,  50.0330,    5.4000,  558.0,  ST-HUBERT                     
BEM00006496,  50.4822,    6.1814,  565.1,  ELSENBORN                     
BFM00078063,  26.6167,  -78.3667,    6.1,  GOLD ROCK CREEK               
BFM00078073,  25.0500,  -77.4667,    7.0,  NASSAU AIRPORT NEW PROVIDENCE 
BFM00078076,  25.2667,  -76.3000,   10.1,  ELEUTHERA ISLAND              
BFM00078107,  22.3700,  -73.0300,   21.0,  MAYAGUAN                      
BGM00041859,  25.7333,   89.2333,   33.0,  RANGPUR                       
BGM00041883,  24.8500,   89.3667,   18.0,  BOGRA                         
BGM00041891,  24.9000,   91.8833,   34.0,  SYLHET                        
BGM00041907,  24.1333,   89.0500,   13.0,  ISHWARDI                      
BGM00041923,  23.7667,   90.3833,    8.0,  DHAKA                         
BGM00041932,  22.7170,   90.3670,    4.0,  USAF-DS3-271                  
BGM00041936,  23.1833,   89.1667,    6.0,  JESSORE                       
BGM00041943,  23.0333,   91.4167,    6.0,  FENI                          
BGM00041950,  22.7500,   90.3667,    3.0,  BARISAL                       
BGM00041977,  22.3500,   91.8167,   33.0,  CHITTAGONG (AMBAGAN)          
BGM00041992,  21.4333,   91.9333,    2.0,  COX'S BAZAR                   
BGXUAC03368,  25.8800,   89.4300,    0.0,  LALMANIR HAT                  
BGXUAE05433,  22.2500,   91.8200,    5.0,  CHATTAGRAM                    
BGXUAE05797,  23.6200,   90.0500,   10.0,  DACCA                         
BHM00078583,  17.5333,  -88.3000,    5.0,  BELIZE/PHILLIP GOLDSTON INTL. 
BLM00085041, -11.0333,  -68.7833,  235.0,  COBIJA                        
BLM00085154, -14.8167,  -64.9167,  155.0,  TRINIDAD                      
BLM00085201, -16.5170,  -68.1830, 4061.0,  LA PAZ/ALTO                   
BLM00085245, -17.8000,  -63.1833,  418.0,  SANTA CRUZ/EL TROMPILLO       
BLM00085268, -18.3167,  -59.7667,  276.0,  ROBORE                        
BLXUAE04835, -17.3800,  -66.1700, 2575.0,  COCHABAMBA                    
BLXUAE04836, -10.8200,  -65.3700,  130.0,  GUAYARAMERIN                  
BLXUAE04838, -14.4500,  -67.5300,  215.0,  RURRENABAQUE                  
BLXUAE04841, -22.0300,  -63.6800,  595.0,  YACUIBA                       
BMM00048008,  25.3667,   97.4000,  145.0,  MYITKYINA                     
BMM00048042,  21.9833,   96.1000,   74.0,  MANDALAY                      
BMM00048053,  20.8830,   95.9000,  220.0,  MEIKTILA                      
BMM00048060,  21.3000,   99.6170,  828.0,  KENGTUNG                      
BMM00048062,  20.1330,   92.8830,    4.0,  SITTWE                        
BMM00048080,  18.4670,   94.3500,    9.0,  SANDOWAY                      
BMM00048094,  16.7670,   94.7670,   10.0,  PATHEIN                       
BMM00048096,  16.9000,   96.1830,   29.0,  MINGALADON                    
BMM00048097,  16.7667,   96.1667,   14.0,  YANGON                        
BMM00048108,  14.1000,   98.2167,   16.0,  DAWEI                         
BMM00048109,  14.1170,   93.3670,    3.0,  COCO ISLAND                   
BMM00048110,  12.4330,   98.6000,   36.0,  MERGUI                        
BMM00048112,   9.9670,   98.5830,   47.0,  VICTORIA POINT                
BNM00065306,  11.1333,    2.9333,  290.0,  KANDI                         
BNM00065330,   9.3500,    2.6167,  392.0,  PARAKOU                       
BNM00065344,   6.3500,    2.3833,    5.0,  COTONOU                       
BNXUAAW5331,   8.8667,    2.6000,  325.0,  TCHAOUROU                     
BOM00026850,  53.9286,   27.6353,  223.8,  MINSK                         
BOM00033008,  52.1167,   23.6858,  145.9,  BREST                         
BOM00033036,  52.0500,   29.2500,  185.0,  MOZYR (AMOS)                  
BOM00033041,  52.4019,   30.9631,  126.3,  GOMEL                         
BPM00091517,  -9.4167,  159.9667,   55.0,  HONIARA                       
BPM00091541, -10.7000,  165.8000,   24.0,  SANTA CRUZ ISLAND             
BRM00081729,  -3.2944,  -60.6283,   19.0,  MANACAPURU                    
BRM00082022,   2.8333,  -60.7000,  140.0,  BOA VISTA (AERO)              
BRM00082026,   2.2239,  -55.9472,  325.0,  TIRIOS                        
BRM00082099,   0.0500,  -51.0667,   16.0,  MACAPA (AERO)                 
BRM00082107,  -0.1167,  -66.9667,   79.0,  SAO GABRIEL DA CACHOEIRA      
BRM00082193,  -1.3833,  -48.4833,   16.0,  BELEM (AERO)                  
BRM00082244,  -2.4333,  -54.7167,   72.0,  SANTAREM (AERO)               
BRM00082281,  -2.6000,  -44.2333,   53.0,  SAO LUIZ (AERO)               
BRM00082287,  -3.0830,  -41.7830,   22.0,  PARNAIBA                      
BRM00082332,  -3.1500,  -59.9833,   84.0,  MANAUS (AERO)                 
BRM00082397,  -3.7667,  -38.6000,   26.0,  FORTALEZA                     
BRM00082400,  -3.8500,  -32.4167,   56.0,  FERNANDO DE NORONHA           
BRM00082411,  -4.2500,  -69.9333,   81.0,  TABATINGA (AERO)              
BRM00082532,  -5.8167,  -61.2833,   53.0,  MANICORE (AERO)               
BRM00082571,  -5.5000,  -45.2670,  153.0,  BARRA DO CORDA                
BRM00082579,  -5.0500,  -42.8170,   67.0,  TERESINA                      
BRM00082586,  -5.2000,  -39.3000,  212.0,  QUIXERAMOBIM                  
BRM00082599,  -5.9167,  -35.2500,   52.0,  NATAL (AERO)                  
BRM00082640,  -6.2670,  -57.7330,   99.0,  JACAREACANGA                  
BRM00082678,  -6.7667,  -43.0167,  127.0,  FLORIANO                      
BRM00082705,  -7.5833,  -72.7667,  199.0,  CRUZEIRO DO SUL (AERO)        
BRM00082765,  -7.3333,  -47.4667,  193.0,  CAROLINA                      
BRM00082784,  -7.3170,  -39.3000,  409.0,  BARBALHA                      
BRM00082791,  -7.0170,  -37.2670,  249.0,  PATOS                         
BRM00082824,  -8.7667,  -63.9167,  102.0,  PORTO VELHO (AERO)            
BRM00082900,  -8.0500,  -34.9167,    7.0,  RECIFE                        
BRM00082917, -10.0000,  -67.8000,  142.0,  RIO BRANCO (AERO)             
BRM00082930,  -9.3330,  -54.9670,  537.0,  CACHIMBO AERO                 
BRM00082965,  -9.8667,  -56.1000,  288.0,  ALTA FLORESTA (AERO)          
BRM00082975,  -9.1000,  -44.1170,  331.0,  BOM JESUS                     
BRM00082983,  -9.3833,  -40.4833,  370.0,  PETROLINA                     
BRM00082993,  -9.5170,  -35.7830,  118.0,  MACEIO (AEROPORTO)            
BRM00083063, -10.7000,  -48.4000,  265.0,  PORTO NACIONAL                
BRM00083096, -10.9170,  -37.0500,    5.0,  ARACAJU                       
BRM00083182, -11.3000,  -41.8670,  747.0,  IRECE                         
BRM00083208, -12.7000,  -60.1000,  612.0,  VILHENA (AERO)                
BRM00083229, -13.0167,  -38.5167,   52.0,  SALVADOR                      
BRM00083236, -12.1500,  -45.0000,  439.0,  BARREIRAS                     
BRM00083288, -13.2667,  -43.4167,  440.0,  BOM JESUS DA LAPA             
BRM00083344, -14.9500,  -40.8830,  914.0,  VITORIA DA CONQUIST           
BRM00083361, -15.6000,  -56.1000,  165.0,  CUIABA                        
BRM00083362, -15.6500,  -56.1000,  187.0,  CUIABA (AERO)                 
BRM00083378, -15.8667,  -47.9333, 1061.0,  BRASILIA (AERO)               
BRM00083498, -17.7333,  -39.2500,    3.0,  CARAVELAS                     
BRM00083525, -18.8833,  -48.2167,  943.0,  UBERLANDIA (AERO)             
BRM00083554, -19.0000,  -57.6667,  141.0,  CORUMBA (AERO)                
BRM00083566, -19.6167,  -43.9667,  827.0,  CONFINS (AERO)                
BRM00083576, -19.7830,  -47.9670,  809.0,  UBERABA                       
BRM00083612, -20.4667,  -54.6667,  567.0,  CAMPO GRANDE (AERO)           
BRM00083649, -20.2667,  -40.2833,    4.0,  VITORIA (AERO)                
BRM00083650, -20.5000,  -29.3167,    5.0,  TRINDADE (ILHA)               
BRM00083746, -22.8167,  -43.2500,    6.0,  GALEAO                        
BRM00083768, -23.3333,  -51.1333,  569.0,  LONDRINA (AERO)               
BRM00083779, -23.5000,  -46.6333,  722.0,  MARTE (AERO)                  
BRM00083780, -23.6170,  -46.6500,  802.0,  SAO PAULO                     
BRM00083827, -25.5167,  -54.5833,  180.0,  FOZ DO IGUACU (AERO)          
BRM00083840, -25.5167,  -49.1667,  908.0,  CURITIBA (AERO)               
BRM00083899, -27.6667,  -48.5500,    5.0,  FLORIANOPOLIS (AERO)          
BRM00083928, -29.7833,  -57.0333,   74.0,  URUGUAIANA (AERO)             
BRM00083937, -29.7167,  -53.7000,   85.0,  SANTA MARIA (AERO)            
BRM00083971, -30.0000,  -51.1833,    3.0,  PORTO ALEGRE (AERO)           
BRM00083981, -31.3500,  -54.1170,  183.0,  BAGE (AEROPORTO)              
BUM00015614,  42.6500,   23.3833,  595.0,  SOFIA (OBSERV.)               
BUM00015730,  41.6500,   25.3670,  331.0,  KURDJALI                      
BXM00096315,   4.9333,  114.9333,   22.0,  BRUNEI AIRPORT                
BXM00096323,   4.5830,  114.2000,    3.0,  KUALA BELAIT                  
CAM00071043,  65.2833, -126.7500,   93.6,  NORMAN WELLS UA               
CAM00071051,  72.0000, -125.2700,   84.0,  SACHS HARBOUR                 
CAM00071069,  55.2830, -114.7830,  583.0,  SLAVE LAKE AIRPORT            
CAM00071072,  76.2500, -119.3500,   58.0,  MOULD BAY                     
CAM00071074,  78.8000, -103.5000,   25.0,  ISACHSEN                      
CAM00071081,  68.7667,  -81.2167,    5.9,  HALL BEACH UA                 
CAM00071082,  82.5000,  -62.3333,   65.4,  ALERT UA                      
CAM00071090,  70.4500,  -68.5500,    2.1,  CLYDE RIVER                   
CAM00071109,  50.6850, -127.3758,   17.4,  PORT HARDY UA                 
CAM00071115,  50.2330, -119.2830,  556.0,  VERNON AUTO                   
CAM00071119,  53.5475, -114.1083,  766.3,  EDMONTON STONY PLAIN          
CAM00071120,  54.4170, -110.2830,  541.0,  COLD LAKE                     
CAM00071121,  53.6670, -113.4670,  688.0,  EDMONTON NAMAO ARPT           
CAM00071123,  53.3170, -113.5830,  723.0,  EDMONTON INTL ARPT            
CAM00071124,  54.7500, -110.0500,  700.0,  PRIMROSE LAKE                 
CAM00071129,  51.5170, -109.1830,  694.0,  KINDERSLEY ARPT               
CAM00071145,  53.8500,  -94.6500,  236.0,  ISLAND LAKE ARPT              
CAM00071197,  47.5670,  -59.1500,   40.0,  PORT-AUX-BASQUES              
CAM00071203,  49.9408, -119.4003,  456.0,  KELOWNA UA                    
CAM00071450,  51.1330, -106.5830,  595.0,  ELBOW CS                      
CAM00071524,  45.8170,  -73.4330,   21.0,  LASSOMPTION CDA               
CAM00071569,  50.2000, -104.7000,  580.0,  BRATT'S LAKE UA               
CAM00071600,  43.9322,  -60.0094,    5.0,  SABLE ISLAND                  
CAM00071603,  43.8667,  -66.1000,    8.9,  YARMOUTH UA                   
CAM00071621,  44.1170,  -77.5330,   86.0,  TRENTON ARPT                  
CAM00071625,  45.9500,  -77.3170,  130.0,  PETAWAWA                      
CAM00071627,  45.4670,  -73.7330,   36.0,  MONTREAL/TRUDEAU INT          
CAM00071701,  45.8333,  -66.4333,   50.6,  GAGETOWN A                    
CAM00071716,  46.9000,  -71.4830,  178.0,  VALCARTIER AIRPORT            
CAM00071722,  46.3019,  -76.0061,  188.6,  MANIWAKI UA                   
CAM00071801,  47.6667,  -52.7500,  140.0,  SAINT JOHN'S ARPT             
CAM00071802,  47.5167,  -52.7833,  112.4,  ST JOHN'S WEST UA             
CAM00071811,  50.2167,  -66.2500,   53.1,  SEPT-ILES UA                  
CAM00071815,  48.5667,  -58.5667,   57.0,  STEPHENVILLE UA               
CAM00071816,  53.3000,  -60.3667,   35.7,  GOOSE UA                      
CAM00071823,  53.7572,  -73.6792,  302.4,  LA GRANDE IV UA               
CAM00071836,  51.2667,  -80.6500,   10.0,  MOOSONEE UA                   
CAM00071843,  49.8000,  -97.1333,  227.0,  WINNIPEG UA                   
CAM00071845,  51.4500,  -90.2000,  386.2,  PICKLE LAKE UA                
CAM00071851,  49.9031,  -98.2842,  272.7,  PORTAGE SOUTHPORT             
CAM00071852,  49.9000,  -97.2330,  239.0,  WINNIPEG INT.AIRPOR           
CAM00071853,  49.7830,  -99.6330,  373.0,  SHILO                         
CAM00071855,  51.1000, -100.0500,  304.0,  DAUPHIN AIRPORT               
