      RAOB STATION LISTING 20181221 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

WMO,ICAO,NAME,LOC,EL(m),LAT,A,LON,B,

08160, LEZG, ZARAGOZA (MIL/CIV),         SP,  258,  41.67, N,    1.02, W
08190, LBCN, BARCELONA,                  SP,   98,  41.62, N,    2.20, E
08221, LEMD, MADRID/BARAJAS,             SP,  582,  40.45, N,    3.55, W
08222, ----, MADRID,                     SP,  655,  40.42, N,    3.68, W
08301, ----, PALMA DE MALLORCA,          SP,    6,  39.55, N,    2.62, E
08302, ----, PALMA/SON BONET,            SP,   41,  39.60, N,    2.70, E
08383, ----, HUELVA,                     SP,   20,  37.28, N,    6.91, W
08430, ----, MURCIA CITY,                SP,   62,  38.00, N,    1.17, W
08431, ----, CASTILLO GALERA,            SP,  217,  37.58, N,    1.00, W
08449, LERT, ROTA NAS,                   SP,   27,  36.65, N,    6.35, W
08495, LXGB, GIBRALTAR (CIV/MIL),        GI,    5,  36.15, N,    5.35, W
08506, ----, HORTA,                      PO,   62,  38.52, N,   28.63, W
08507, ----, GRACIOSA/AERODROME,         PO,   28,  39.10, N,   28.03, W
08508, ----, LAJES/SANTA RITA,           PO,  113,  38.75, N,   27.08, W
08509, LPLA, LAJES AB,                   PO,   55,  38.77, N,   27.10, W
08521, LPFU, FUNCHAL/MADEIRA,            PO,   55,  32.68, N,   16.77, W
08522, ----, FUNCHAL,                    PO,   56,  32.63, N,   16.90, W
08549, ----, COIMBRA,                    PO,  140,  40.20, N,    8.42, W
08554, ----, FARO,                       PO,    7,  37.02, N,    7.97, W
08579, ----, LISBON/GAGO COUTINHO,       PO,  105,  38.77, N,    9.13, W
08589, ----, PRAIA,                      CV,   35,  14.90, N,   23.52, W
08594, GVAC, SAL ISL/AMILCAR CAB,        CV,   55,  16.73, N,   22.95, W
10035, ----, SCHLESWIG,                  DL,   48,  54.53, N,    9.55, E
10044, ----, KIEL,                       DL,   23,  54.50, N,   10.28, E
10046, ----, KIEL/HOLTENAU,              DL,   32,  54.38, N,   10.15, E
10113, ----, NORDERNEY,                  DL,   11,  53.71, N,    7.15, E
10168, ----, GOLDBERT (AUT),             DL,   58,  53.60, N,   12.10, E
10184, ----, GREIFSWALD,                 DL,    6,  54.10, N,   13.40, E
10200, EDWE, EMDEN/KOENIGSPOLDER,        DL,    5,  53.38, N,    7.23, E
10238, ETGB, BERGEN (MIL),               DL,   69,  52.82, N,    9.93, E
10272, ETGW, WITTSTOCK,                  DL,   74,  53.20, N,   12.52, E
10304, ETWM, MEPPEN (MIL),               DL,   26,  52.62, N,    7.32, E
10307, ----, RHEINE,                     DL,   78,  52.27, N,    7.43, E
10337, ----, HILDESHEIM,                 DL,   88,  52.18, N,    9.95, E
10338, EDDV, HANNOVER,                   DL,   54,  52.47, N,    9.70, E
10384, EDDI, BERLIN/TEMPELHOF,           DL,   49,  52.47, N,   13.40, E
10393, ----, LINDENBERG,                 DL,  112,  52.22, N,   14.12, E
10410, EDZE, ESSEN/MULHEIM,              DL,  161,  51.40, N,    6.97, E
10418, ----, LUEDENSCHEID,               DL,  392,  51.25, N,    7.65, E
10437, ----, FRITZLAR/KASSEL,            DL,  223,  51.13, N,    9.30, E
10454, ----, WERNIGERODE,                DL,  240,  51.85, N,   10.77, E
10468, ----, OPPIN,                      DL,  106,  51.33, N,   12.04, E
10486, ----, WAHNSDORF,                  DL,  232,  51.12, N,   13.68, E
10513, ----, KOLN/BONN,                  DL,   91,  50.87, N,    7.13, E
10548, ----, MEININGEN,                  DL,  453,  50.57, N,   10.37, E
10577, ----, CHEMNITZ,                   DL,  419,  50.80, N,   12.87, E
10582, ----, ZINNWALD/GEORGE,            DL,  882,  50.73, N,   13.75, E
10618, ETGI, IDAR-OBERSTEIN (MIL),       DL,  377,  49.70, N,    7.33, E
